ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
534452	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint	True	View "Drafting View: Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint"				
534453	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint	True	View "Drafting View: Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint"				
534454	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Vertical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Vertical Wood Panel-to-panel Joint"				
534455	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Vertical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Vertical Wood Panel-to-panel Joint"				
534456	3/4"	FamilyInstance	Detail Items		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
534457	3/4"	FamilyInstance	Detail Items		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
534458	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
534459	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
534460	Break Line Single	FamilyInstance	Detail Items		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
534461	3/4"	FamilyInstance	Detail Items		True	Int - Base at Acoustical Wood Panels	True	View "Drafting View: Int - Base at Acoustical Wood Panels"				
534462	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Base at Acoustical Wood Panels	True	View "Drafting View: Int - Base at Acoustical Wood Panels"				
534464	Detail Lines	DetailLine	Lines		True	Int - Typical Acoustic Wood Panel Head	True	View "Drafting View: Int - Typical Acoustic Wood Panel Head"				
534465	Dim Pt.	AnnotationSymbol	Generic Annotations		True	Int - Typical Acoustic Wood Panel Head	True	View "Drafting View: Int - Typical Acoustic Wood Panel Head"				
541463	Int - Inside corner at acoustic wd panel	Element	Work Plane Grid		True	Int - Inside corner at acoustic wd panel	True	View "Drafting View: Int - Inside corner at acoustic wd panel"				
541464	Int - Acoustical Wood Panel-to-panel Joint	Element	Work Plane Grid		True	Int - Acoustical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Wood Panel-to-panel Joint"				
541465	Int - Wood Base	Element	Work Plane Grid		True	Int - Wood Base	True	View "Drafting View: Int - Wood Base"				
541466	Int - Acoustical Vertical Wood Panel-to-panel Joint	Element	Work Plane Grid		True	Int - Acoustical Vertical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Vertical Wood Panel-to-panel Joint"				
541467	Int - Base at Acoustical Wood Panels	Element	Work Plane Grid		True	Int - Base at Acoustical Wood Panels	True	View "Drafting View: Int - Base at Acoustical Wood Panels"				
541468	Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint	Element	Work Plane Grid		True	Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint	True	View "Drafting View: Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint"				
541469	Int - Typical Acoustic Wood Panel Head	Element	Work Plane Grid		True	Int - Typical Acoustic Wood Panel Head	True	View "Drafting View: Int - Typical Acoustic Wood Panel Head"				
541470	Int - Jamb at Paneled Recess	Element	Work Plane Grid		True	Int - Jamb at Paneled Recess	True	View "Drafting View: Int - Jamb at Paneled Recess"				
541471	Int - Head at Paneled Recess	Element	Work Plane Grid		True	Int - Head at Paneled Recess	True	View "Drafting View: Int - Head at Paneled Recess"				
541472	Int - Outside Corner Detail - Paneling	Element	Work Plane Grid		True	Int - Outside Corner Detail - Paneling	True	View "Drafting View: Int - Outside Corner Detail - Paneling"				
541861	DETAILS - INTERIOR	ViewSheet	Sheets		False		True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541865	Standard	FamilyInstance	Title Blocks		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541873	Details	Element	Guide Grid		False		True	Guide Grids				
541881	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541882	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541884	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541885	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541886	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541888	Title w Line	Viewport	Viewports		True	DETAILS - INTERIOR	True	View "Sheet: A8.4 - DETAILS - INTERIOR"				
541953	Blocking - Adjustable	FamilyInstance	Detail Items		True	Int - Inside corner at acoustic wd panel	True	View "Drafting View: Int - Inside corner at acoustic wd panel"				
542471	Acoustical Paneling Grooves	DetailLine	Detail Items		True	Int - Typical Acoustic Wood Panel Head	True	View "Drafting View: Int - Typical Acoustic Wood Panel Head"				
545767	Glass - Frosted	Material	Materials		False		True	Materials				
545768	Glass - Opaque Resin Panel	Material	Materials		False		True	Materials				
546974	Render Material 84-84-84	Material	Materials		False		True	Materials				
546985	Render Material 220-220-220	Material	Materials		False		True	Materials				
546994	Render Material 127-63-0	Material	Materials		False		True	Materials				
547004	Render Material 127-0-0	Material	Materials		False		True	Materials				
547014	location <Not Shared>	ImportInstance	Base at Acoustic Wood Panels.dwg		True	Int - Base at Acoustical Wood Panels	True	View "Drafting View: Int - Base at Acoustical Wood Panels"				
547093	location <Not Shared>	ImportInstance	Typical Acoustic Horizontal Wood Panel-to-panel Reveal Joint.dwg		True	Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint	True	View "Drafting View: Int - Acoustical Horiz Wood Panel-to-panel Reveal Joint"				
547096	Detail Tracing	ViewDrafting	Views		False		True	View Template "Detail Tracing"				
547144	location <Not Shared>	ImportInstance	Typical Acoustic Vertical Wood Panel-to-panel-joint.dwg		True	Int - Acoustical Vertical Wood Panel-to-panel Joint	True	View "Drafting View: Int - Acoustical Vertical Wood Panel-to-panel Joint"				
547147	TO DO Int - Wood Paneling Reveal (Horiz and Vert)	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Wood Paneling Reveal (Horiz and Vert)"				
547152	TO DO Int - Wood Paneling Reveal (Horiz and Vert)	Element	Work Plane Grid		True	TO DO Int - Wood Paneling Reveal (Horiz and Vert)	True	View "Drafting View: TO DO Int - Wood Paneling Reveal (Horiz and Vert)"				
547195	location <Not Shared>	ImportInstance	Wood Paneling Reveal (Horiz and Vert).dwg		True	TO DO Int - Wood Paneling Reveal (Horiz and Vert)	True	View "Drafting View: TO DO Int - Wood Paneling Reveal (Horiz and Vert)"				
547196	TO DO Int - Wood Base at Paneling	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Wood Base at Paneling"				
547201	TO DO Int - Wood Base at Paneling	Element	Work Plane Grid		True	TO DO Int - Wood Base at Paneling	True	View "Drafting View: TO DO Int - Wood Base at Paneling"				
547244	location <Not Shared>	ImportInstance	Wood Base at Paneling.dwg		True	TO DO Int - Wood Base at Paneling	True	View "Drafting View: TO DO Int - Wood Base at Paneling"				
547252	TO DO Int - Typical Wood Veneer Panel	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Typical Wood Veneer Panel"				
547257	TO DO Int - Typical Wood Veneer Panel	Element	Work Plane Grid		True	TO DO Int - Typical Wood Veneer Panel	True	View "Drafting View: TO DO Int - Typical Wood Veneer Panel"				
547300	location <Not Shared>	ImportInstance	Typical Wood Veneer Panel.dwg		True	TO DO Int - Typical Wood Veneer Panel	True	View "Drafting View: TO DO Int - Typical Wood Veneer Panel"				
547301	TO DO Int - Typical Panel Head at Ceiling	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Typical Panel Head at Ceiling"				
547306	TO DO Int - Typical Panel Head at Ceiling	Element	Work Plane Grid		True	TO DO Int - Typical Panel Head at Ceiling	True	View "Drafting View: TO DO Int - Typical Panel Head at Ceiling"				
547345	location <Not Shared>	ImportInstance	Typical Panel Head at Ceiling.dwg		True	TO DO Int - Typical Panel Head at Ceiling	True	View "Drafting View: TO DO Int - Typical Panel Head at Ceiling"				
547346	TO DO Int - Typical Horizontal Trim	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Typical Horizontal Trim"				
547351	TO DO Int - Typical Horizontal Trim	Element	Work Plane Grid		True	TO DO Int - Typical Horizontal Trim	True	View "Drafting View: TO DO Int - Typical Horizontal Trim"				
547390	Render Material 118-118-118	Material	Materials		False		True	Materials				
547404	location <Not Shared>	ImportInstance	Typical Horizontal Trim.dwg		True	TO DO Int - Typical Horizontal Trim	True	View "Drafting View: TO DO Int - Typical Horizontal Trim"				
547405	TO DO Int - Typical Clerestory Sill - Door Head at Offices	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Typical Clerestory Sill - Door Head at Offices"				
547410	TO DO Int - Typical Clerestory Sill - Door Head at Offices	Element	Work Plane Grid		True	TO DO Int - Typical Clerestory Sill - Door Head at Offices	True	View "Drafting View: TO DO Int - Typical Clerestory Sill - Door Head at Offices"				
547462	location <Not Shared>	ImportInstance	Typical Clerestory Sill - Door Head at Offices.dwg		True	TO DO Int - Typical Clerestory Sill - Door Head at Offices	True	View "Drafting View: TO DO Int - Typical Clerestory Sill - Door Head at Offices"				
547463	TO DO Int - Outside Corner Detail - Horizontal Trim	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Outside Corner Detail - Horizontal Trim"				
547468	TO DO Int - Outside Corner Detail - Horizontal Trim	Element	Work Plane Grid		True	TO DO Int - Outside Corner Detail - Horizontal Trim	True	View "Drafting View: TO DO Int - Outside Corner Detail - Horizontal Trim"				
547514	location <Not Shared>	ImportInstance	Outside Corner Detail - Horizontal Trim.dwg		True	TO DO Int - Outside Corner Detail - Horizontal Trim	True	View "Drafting View: TO DO Int - Outside Corner Detail - Horizontal Trim"				
547515	TO DO Int - Joint at Horizontal Trim	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Joint at Horizontal Trim"				
547520	TO DO Int - Joint at Horizontal Trim	Element	Work Plane Grid		True	TO DO Int - Joint at Horizontal Trim	True	View "Drafting View: TO DO Int - Joint at Horizontal Trim"				
547559	location <Not Shared>	ImportInstance	Joint at Horizontal Trim.dwg		True	TO DO Int - Joint at Horizontal Trim	True	View "Drafting View: TO DO Int - Joint at Horizontal Trim"				
547560	TO DO Int - Inside Corner Detail - Paneling	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Inside Corner Detail - Paneling"				
