ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
557385	Basic Wall : Exterior - CMU Insulated (Floor Plan)	Element	Legend Components		False		False					
557386	Basic Wall : Generic - 4" Brick (Floor Plan)	Element	Legend Components		False		False					
557387	Basic Wall : Interior - 3 1/8" Partition (1-hr) (Floor Plan)	Element	Legend Components		False		False					
557388	Basic Wall : Interior - 4 7/8" Partition (1-hr) (Floor Plan)	Element	Legend Components		False		False					
557389	Basic Wall : Interior - 6 1/8" Partition (2-hr) (Floor Plan)	Element	Legend Components		False		False					
557390	Basic Wall : Interior - 5 1/2" Partition (1-hr) (Floor Plan)	Element	Legend Components		False		False					
557391	Basic Wall : Exterior - EIFS on Mtl. Stud (Floor Plan)	Element	Legend Components		False		False					
557392	Curtain Wall : Curtain Wall 1 (Floor Plan)	Element	Legend Components		False		False					
557393	Floor : Wood Joist 10" - Wood Finish (Section)	Element	Legend Components		False		False					
557394	Floor : Wood Truss  Joist 12" - Carpet Finish  (Section)	Element	Legend Components		False		False					
557395	Floor : Wood Joist 10" - Ceramic Tile (Section)	Element	Legend Components		False		False					
557396	Floor : Steel Bar Joist 14" - VCT on Concrete (Section)	Element	Legend Components		False		False					
557397	Floor : LW Concrete on Metal Deck (Section)	Element	Legend Components		False		False					
557398	Basic Roof : Wood Rafter 8" - Asphalt Shingle - Insulated (Section)	Element	Legend Components		False		False					
557399	Basic Roof : Steel Truss - Insulation on Metal Deck - EPDM (Section)	Element	Legend Components		False		False					
557400	Basic Wall : Foundation - 12" Concrete (Floor Plan)	Element	Legend Components		False		False					
557401	Basic Wall : Retaining - 12" Concrete (Floor Plan)	Element	Legend Components		False		False					
557402	Basic Wall : Generic - 8" - Filled (Floor Plan)	Element	Legend Components		False		False					
557403	Basic Roof : Generic - 12" - Filled (Section)	Element	Legend Components		False		False					
557404	Floor : Generic - 12" - Filled (Section)	Element	Legend Components		False		False					
557405	Compound Ceiling : GWB on Mtl. Stud (Section)	Element	Legend Components		False		False					
557406	Compound Ceiling : 2' x 4' ACT System (Section)	Element	Legend Components		False		False					
557407	Compound Ceiling : 2' x 2' ACT System (Section)	Element	Legend Components		False		False					
557408	Roof Soffit : Generic - 4" (Section)	Element	Legend Components		False		False					
557409	Basic Wall : Soffit - 1/2" GWB & Metal Stud (Floor Plan)	Element	Legend Components		False		False					
